会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
K008_001a,846,B,IC03_久美,おいしかっ,オイシイ,美味しい,形容詞-一般,形容詞,連用形-促音便,和,,オイシイ,おいしかっ,オイシカッ,オイシカッ,291.346,292.363,291.346,292.363,0,B
K008_001a,847,I,IC03_久美,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,,タ,た,タ,タ,291.346,292.363,291.346,292.363,0,I
K008_001a,848,I,IC03_久美,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です,デス,デス,291.346,292.363,291.346,292.363,0,I
K008_001a,849,I,IC03_久美,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね。,ネ,ネ,291.346,292.363,291.346,292.363,0,I
K008_001a,850,B,IC01_深石,ふん,フン,ふん,感動詞-一般,,,和,,フン,(L ふん)。,フン,フン,291.903,292.134,291.903,292.134,0,B
K008_001a,851,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,292.363,292.746,292.363,292.746,0,B
K008_001a,852,B,IC01_深石,おいしい,オイシイ,美味しい,形容詞-一般,形容詞,終止形-一般,和,,オイシイ,おいしい。,オイシー,オイシー,292.440,292.911,292.440,292.911,0,B
K008_001a,853,B,IC01_深石,ありがとう,アリガトウ,有り難う,感動詞-一般,,,和,,アリガトウ,ありがとう,アリガトー,アリガトー,293.052,294.013,293.052,294.013,0,B
K008_001a,854,I,IC01_深石,ござい,ゴザル,御座る,動詞-一般,五段-ラ行,連用形-イ音便,混,,ゴザル,(U ござい,ゴザイ,ゴザイ,293.052,294.013,293.052,294.013,0,B
K008_001a,855,I,IC01_深石,ます,マス,ます,助動詞,助動詞-マス,終止形-一般,和,,マス,ます)。,マス,マス,293.052,294.013,293.052,294.013,0,I
K008_001a,856,B,IC02_鶴賀,きょう,キョウ,今日,名詞-普通名詞-一般,,,和,,キョウ,(T きょう,キョー,キョー,295.457,296.830,295.457,296.830,0,B
K008_001a,857,I,IC02_鶴賀,は,ハ,は,助詞-係助詞,,,和,,ハ,は,ワ,ワ,295.457,296.830,295.457,296.830,0,I
